id,expected,output,parsed,correct,status,error,latency_ms,input_tokens,output_tokens,eval_count,eval_duration,eval_duration_ms,generation_tokens_per_second
001,Non-Compete,Non-Compete,Non-Compete,True,ok,,12972.812899999553,991,5,5,128267000,128.267,38.9811876788262
002,Non-Compete,Non-Compete,Non-Compete,True,ok,,2339.455799985444,994,5,5,172506000,172.506,28.98449908988673
003,Exclusivity,Exclusivity,Exclusivity,True,ok,,2284.93230001186,987,4,4,129112000,129.112,30.98085383233162
004,Exclusivity,Exclusivity,Exclusivity,True,ok,,2338.9127000118606,990,4,4,135173000,135.173,29.591708403305397
005,No-Solicit of Customers,No-Solicit of Customers,No-Solicit of Customers,True,ok,,2366.800299991155,987,6,6,219763000,219.763,27.30213912260026
006,No-Solicit of Customers,No-Solicit of Customers,No-Solicit of Customers,True,ok,,2386.297299992293,987,6,6,217934000,217.934,27.531270935237274
007,No-Solicit of Employees,No-Solicit of Employees,No-Solicit of Employees,True,ok,,2352.114100009203,989,6,6,183875000,183.875,32.63086335825969
008,No-Solicit of Employees,No-Solicit of Employees,No-Solicit of Employees,True,ok,,2370.74610000127,989,6,6,179189000,179.189,33.48419824877644
009,Non-Disparagement,Non-Disparagement,Non-Disparagement,True,ok,,2339.80730001349,987,6,6,200961000,200.961,29.85653932852643
010,Non-Disparagement,Non-Disparagement,Non-Disparagement,True,ok,,2373.0670000077225,988,6,6,200612000,200.612,29.908480051043803
011,Termination for Convenience,Termination for Convenience,Termination for Convenience,True,ok,,2341.7339000152424,989,5,5,172475000,172.475,28.989708653428035
012,Termination for Convenience,Termination for Convenience,Termination for Convenience,True,ok,,2315.1630999927875,990,5,5,147364000,147.364,33.92958931625092
013,Change of Control,Change of Control,Change of Control,True,ok,,2327.4955000088084,992,4,4,142621000,142.621,28.046360634128213
014,Change of Control,Change of Control,Change of Control,True,ok,,2289.929000020493,991,4,4,128083000,128.083,31.22974945933496
015,Anti-Assignment,Anti-Assignment,Anti-Assignment,True,ok,,2317.493900016416,991,4,4,143090000,143.09,27.954434272136417
016,Anti-Assignment,Anti-Assignment,Anti-Assignment,True,ok,,2308.000399993034,992,4,4,133948000,133.948,29.862334637321943
017,Revenue/Profit Sharing,Revenue/Profit Sharing,Revenue/Profit Sharing,True,ok,,2317.2341999888886,988,5,5,152490000,152.49,32.78903534658011
018,Revenue/Profit Sharing,Revenue/Profit Sharing,Revenue/Profit Sharing,True,ok,,2349.650999996811,986,5,5,169709000,169.709,29.462197054958782
019,Price Restrictions,Price Restrictions,Price Restrictions,True,ok,,2227.959700016072,991,3,3,82002000,82.002,36.584473549425624
020,Price Restrictions,Price Restrictions,Price Restrictions,True,ok,,2365.651000000071,987,3,3,145155000,145.155,20.66756226103131
021,Minimum Commitment,Minimum Commitment,Minimum Commitment,True,ok,,2275.581699999748,986,4,4,122023000,122.023,32.78070527687403
022,Minimum Commitment,Minimum Commitment,Minimum Commitment,True,ok,,2345.7061999943107,988,4,4,153066000,153.066,26.13251799877177
023,Volume Restriction,Volume Restriction,Volume Restriction,True,ok,,2316.0386999952607,989,4,4,139097000,139.097,28.7569106450894
024,Volume Restriction,Volume Restriction,Volume Restriction,True,ok,,2281.262100004824,987,4,4,128695000,128.695,31.081238587357706
025,IP Ownership Assignment,IP Ownership Assignment,IP Ownership Assignment,True,ok,,2332.1242000092752,988,4,4,150659000,150.659,26.550023563145913
026,IP Ownership Assignment,IP Ownership Assignment,IP Ownership Assignment,True,ok,,2301.1595999996644,987,4,4,121681000,121.681,32.87283963807003
027,Joint IP Ownership,Joint IP Ownership,Joint IP Ownership,True,ok,,2346.5416000108235,987,4,4,174639000,174.639,22.90439134443051
028,Joint IP Ownership,Joint IP Ownership,Joint IP Ownership,True,ok,,2271.8254000064917,991,4,4,115643000,115.643,34.58920989597295
029,License Grant,License Grant,License Grant,True,ok,,2271.493099979125,987,3,3,121929000,121.929,24.604482936791083
030,License Grant,License Grant,License Grant,True,ok,,2244.283300009556,986,3,3,93589000,93.589,32.05504920450053
031,Non-Transferable License,Non-Transferable License,Non-Transferable License,True,ok,,2422.540499974275,991,6,6,221331000,221.331,27.10871951963349
032,Non-Transferable License,Non-Transferable License,Non-Transferable License,True,ok,,2321.021500014467,987,6,6,188896000,188.896,31.76351007962053
033,Unlimited/All-You-Can-Eat-License,Unlimited/All-You-Can-Eat-License,Unlimited/All-You-Can-Eat-License,True,ok,,2535.1884000119753,989,12,12,351012000,351.012,34.18686540631089
034,Unlimited/All-You-Can-Eat-License,Unlimited/All-You-Can-Eat-License,Unlimited/All-You-Can-Eat-License,True,ok,,2507.65029998729,986,12,12,369052000,369.052,32.51574303892134
035,Irrevocable or Perpetual License,Irrevocable or Perpetual License,Irrevocable or Perpetual License,True,ok,,2458.725400007097,987,10,10,296677000,296.677,33.706691115253285
036,Irrevocable or Perpetual License,Irrevocable or Perpetual License,Irrevocable or Perpetual License,True,ok,,2471.785700006876,985,10,10,323620000,323.62,30.90043878623076
037,Source Code Escrow,Source Code Escrow,Source Code Escrow,True,ok,,2307.3517000011634,994,5,5,160155000,160.155,31.219755861509164
038,Source Code Escrow,Source Code Escrow,Source Code Escrow,True,ok,,2384.3074000033084,997,5,5,180516000,180.516,27.698375767245007
039,Post-Termination Services,Post-Termination Services,Post-Termination Services,True,ok,,2332.4987000087276,991,6,6,184598000,184.598,32.50306070488304
040,Post-Termination Services,Post-Termination Services,Post-Termination Services,True,ok,,2335.815999977058,990,6,6,179979000,179.979,33.337222675978865
041,Audit Rights,Audit Rights,Audit Rights,True,ok,,2252.864900015993,989,3,3,95074000,95.074,31.55436817636788
042,Audit Rights,Audit Rights,Audit Rights,True,ok,,2255.716499988921,990,3,3,94039000,94.039,31.901657822818194
043,Uncapped Liability,Uncapped Liability,Uncapped Liability,True,ok,,2259.54769999953,984,4,4,115701000,115.701,34.571870597488356
044,Uncapped Liability,Uncapped Liability,Uncapped Liability,True,ok,,2360.6627999979537,992,4,4,155131000,155.131,25.78465941687993
045,Cap on Liability,Cap on Liability,Cap on Liability,True,ok,,2300.6094000011217,992,4,4,134876000,134.876,29.65687001393873
046,Cap on Liability,Cap on Liability,Cap on Liability,True,ok,,2304.2308000149205,989,4,4,123843000,123.843,32.29895916604087
047,Liquidated Damages,Liquidated Damages,Liquidated Damages,True,ok,,2405.188200005796,996,5,5,189487000,189.487,26.38703446674442
048,Liquidated Damages,Liquidated Damages,Liquidated Damages,True,ok,,2341.98299999116,992,5,5,183671000,183.671,27.22258821479711
049,Insurance,Insurance,Insurance,True,ok,,2188.747999985935,989,2,2,50897000,50.897,39.29504685934338
050,Insurance,Insurance,Insurance,True,ok,,2268.2643000152893,992,2,2,49185000,49.185,40.66280370031514
