id,expected,output,parsed,correct,status,error,latency_ms,input_tokens,output_tokens,eval_count,eval_duration,eval_duration_ms,generation_tokens_per_second
001,Non-Compete,Non-Compete,Non-Compete,True,ok,,7165.40095792152,1453,5,5,327473000,327.473,15.268434344205476
002,Non-Compete,Non-Compete,Non-Compete,True,ok,,370.0018331874162,1456,5,5,158797000,158.797,31.486740933392948
003,Exclusivity,Exclusivity,Exclusivity,True,ok,,325.6558747962117,1449,4,4,119057000,119.057,33.597352528620746
004,Exclusivity,Exclusivity,Exclusivity,True,ok,,316.61266717128456,1452,4,4,121312000,121.312,32.97283038776048
005,No-Solicit of Customers,No-Solicit of Customers,No-Solicit of Customers,True,ok,,404.75966688245535,1449,6,6,201453000,201.453,29.78362198626975
006,No-Solicit of Customers,No-Solicit of Customers,No-Solicit of Customers,True,ok,,400.41629201732576,1449,6,6,197999000,197.999,30.303183349410855
007,No-Solicit of Employees,No-Solicit of Employees,No-Solicit of Employees,True,ok,,394.18300008401275,1451,6,6,199011000,199.011,30.14908723638392
008,No-Solicit of Employees,No-Solicit of Employees,No-Solicit of Employees,True,ok,,392.92570808902383,1451,6,6,197995000,197.995,30.303795550392685
009,Non-Disparagement,Non-Disparagement,Non-Disparagement,True,ok,,402.9536251910031,1449,6,6,199027000,199.027,30.146663518015142
010,Non-Disparagement,Non-Disparagement,Non-Disparagement,True,ok,,402.2675829473883,1450,6,6,197960000,197.96,30.309153364316025
011,Termination for Convenience,Termination for Convenience,Termination for Convenience,True,ok,,353.13900001347065,1451,5,5,159513000,159.513,31.345407584334822
012,Termination for Convenience,Termination for Convenience,Termination for Convenience,True,ok,,353.5549999214709,1452,5,5,158504000,158.504,31.544945237975067
013,Change of Control,Change of Control,Change of Control,True,ok,,313.9776249881834,1454,4,4,119232000,119.232,33.5480407944176
014,Change of Control,Change of Control,Change of Control,True,ok,,315.19429199397564,1453,4,4,120249000,120.249,33.26430989031094
015,Anti-Assignment,Anti-Assignment,Anti-Assignment,True,ok,,313.3691670373082,1453,4,4,118854000,118.854,33.654736062732425
016,Anti-Assignment,Anti-Assignment,Anti-Assignment,True,ok,,315.21224998869,1454,4,4,120608000,120.608,33.165295834438844
