id,expected,output,parsed,correct,status,error,latency_ms,input_tokens,output_tokens,eval_count,eval_duration,eval_duration_ms,generation_tokens_per_second
001,Non-Compete,Non-Compete,Non-Compete,True,ok,,13073.665540898219,1463,5,5,68358000,68.358,73.14432838877673
002,Non-Compete,Non-Compete,Non-Compete,True,ok,,82.9264591448009,1466,5,5,45839000,45.839,109.0774231549554
003,Exclusivity,Non-Compete,Non-Compete,False,ok,,123.6672499217093,1459,5,5,45335000,45.335,110.29006286533583
004,Exclusivity,Non-Compete,Non-Compete,False,ok,,82.05095888115466,1462,5,5,45410000,45.41,110.10790574763269
005,No-Solicit of Customers,Non-Solicit of Customers,,False,parse_error,Output is not an exact allowed category name,114.44333288818598,1459,6,6,74607000,74.607,80.4214081788572
006,No-Solicit of Customers,Non-Solicit of Customers,,False,parse_error,Output is not an exact allowed category name,98.26991707086563,1459,6,6,58096000,58.096,103.27733406774993
007,No-Solicit of Employees,Non-Solicit of Employees,,False,parse_error,Output is not an exact allowed category name,94.06745806336403,1461,6,6,56124000,56.124,106.90613641223005
008,No-Solicit of Employees,Non-Solicit of Employees,,False,parse_error,Output is not an exact allowed category name,92.17979200184345,1461,6,6,55950000,55.95,107.23860589812332
009,Non-Disparagement,Non-Disparagement,Non-Disparagement,True,ok,,92.3747499473393,1459,6,6,55808000,55.808,107.51146788990825
010,Non-Disparagement,Non-Disparagement,Non-Disparagement,True,ok,,93.54362497106194,1460,6,6,55686000,55.686,107.74701002047193
011,Termination for Convenience,Termination for Convenience,Termination for Convenience,True,ok,,80.62787516973913,1461,5,5,44733000,44.733,111.77430532269241
012,Termination for Convenience,Non-Solicit of Customers,,False,parse_error,Output is not an exact allowed category name,93.99004210717976,1462,6,6,58125000,58.125,103.2258064516129
013,Change of Control,Non-Compete,Non-Compete,False,ok,,80.48791694454849,1464,5,5,44631000,44.631,112.02975510295535
014,Change of Control,Non-Compete,Non-Compete,False,ok,,80.9403748717159,1463,5,5,44675000,44.675,111.9194180190263
015,Anti-Assignment,Non-Assignment,,False,parse_error,Output is not an exact allowed category name,69.81675000861287,1463,4,4,33620000,33.62,118.97679952409281
016,Anti-Assignment,Non-Transferable License,Non-Transferable License,False,ok,,90.83241689950228,1464,6,6,55588000,55.588,107.93696481254948
017,Revenue/Profit Sharing,Non-Compete,Non-Compete,False,ok,,82.81783293932676,1460,5,5,44691000,44.691,111.87934930970441
018,Revenue/Profit Sharing,Non-Compete,Non-Compete,False,ok,,82.52024999819696,1458,5,5,45075000,45.075,110.92623405435386
019,Price Restrictions,Non-Compete,Non-Compete,False,ok,,80.69808292202652,1463,5,5,44743000,44.743,111.74932391659031
020,Price Restrictions,Non-Solicit of Customers,,False,parse_error,Output is not an exact allowed category name,97.43449999950826,1459,6,6,55574000,55.574,107.96415590024112
021,Minimum Commitment,Non-Compete,Non-Compete,False,ok,,82.11300009861588,1458,5,5,44600000,44.6,112.10762331838565
022,Minimum Commitment,Non-Compete,Non-Compete,False,ok,,82.71208289079368,1460,5,5,44720000,44.72,111.80679785330948
